datetime,date,hour,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_hour,atemp_hour,hum_hour,windspeed_hour,temp_day,atemp_day,hum_day,windspeed_day,cnt
2011-01-01 00:00:00,2011-01-01,0,1,0,1,0,6,0,1,0.24,0.2879,0.81,0.0,0.344167,0.363625,0.805833,0.160446,16
2011-01-01 01:00:00,2011-01-01,1,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,0.344167,0.363625,0.805833,0.160446,40
2011-01-01 02:00:00,2011-01-01,2,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,0.344167,0.363625,0.805833,0.160446,32
2011-01-01 03:00:00,2011-01-01,3,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0.344167,0.363625,0.805833,0.160446,13
2011-01-01 04:00:00,2011-01-01,4,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0.344167,0.363625,0.805833,0.160446,1
2011-01-01 05:00:00,2011-01-01,5,1,0,1,0,6,0,2,0.24,0.2576,0.75,0.0896,0.344167,0.363625,0.805833,0.160446,1
2011-01-01 06:00:00,2011-01-01,6,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,0.344167,0.363625,0.805833,0.160446,2
2011-01-01 07:00:00,2011-01-01,7,1,0,1,0,6,0,1,0.2,0.2576,0.86,0.0,0.344167,0.363625,0.805833,0.160446,3
2011-01-01 08:00:00,2011-01-01,8,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0.344167,0.363625,0.805833,0.160446,8
2011-01-01 09:00:00,2011-01-01,9,1,0,1,0,6,0,1,0.32,0.3485,0.76,0.0,0.344167,0.363625,0.805833,0.160446,14
2011-01-01 10:00:00,2011-01-01,10,1,0,1,0,6,0,1,0.38,0.3939,0.76,0.2537,0.344167,0.363625,0.805833,0.160446,36
2011-01-01 11:00:00,2011-01-01,11,1,0,1,0,6,0,1,0.36,0.3333,0.81,0.2836,0.344167,0.363625,0.805833,0.160446,56
2011-01-01 12:00:00,2011-01-01,12,1,0,1,0,6,0,1,0.42,0.4242,0.77,0.2836,0.344167,0.363625,0.805833,0.160446,84
2011-01-01 13:00:00,2011-01-01,13,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2985,0.344167,0.363625,0.805833,0.160446,94
2011-01-01 14:00:00,2011-01-01,14,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2836,0.344167,0.363625,0.805833,0.160446,106
2011-01-01 15:00:00,2011-01-01,15,1,0,1,0,6,0,2,0.44,0.4394,0.77,0.2985,0.344167,0.363625,0.805833,0.160446,110
2011-01-01 16:00:00,2011-01-01,16,1,0,1,0,6,0,2,0.42,0.4242,0.82,0.2985,0.344167,0.363625,0.805833,0.160446,93
2011-01-01 17:00:00,2011-01-01,17,1,0,1,0,6,0,2,0.44,0.4394,0.82,0.2836,0.344167,0.363625,0.805833,0.160446,67
2011-01-01 18:00:00,2011-01-01,18,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,0.344167,0.363625,0.805833,0.160446,35
2011-01-01 19:00:00,2011-01-01,19,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,0.344167,0.363625,0.805833,0.160446,37
2011-01-01 20:00:00,2011-01-01,20,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.2537,0.344167,0.363625,0.805833,0.160446,36
