dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,1177.5,1331
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,1177.5,1331
2011-01-03,1,0,1,0,1,1,1,0.2135685,0.2206455,0.437273,0.248309,120,1229.0,1349
2011-01-04,1,0,1,0,2,1,1,0.2135685,0.2206455,0.590435,0.160296,108,1454.0,1562
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,88,1518.0,1600
2011-01-06,1,0,1,0,4,1,1,0.2135685,0.233209,0.518261,0.0895652,88,1518.0,1606
2011-01-07,1,0,1,0,5,1,2,0.2135685,0.2206455,0.498696,0.168726,148,1362.0,1510
2011-01-08,1,0,1,0,6,0,2,0.2135685,0.2206455,0.535833,0.266804,88,1177.5,1331
2011-01-09,1,0,1,0,0,0,1,0.2135685,0.2206455,0.434167,0.343283,88,1177.5,1331
2011-01-10,1,0,1,0,1,1,1,0.2135685,0.2206455,0.482917,0.223267,88,1280.0,1331
2011-01-11,1,0,1,0,2,1,2,0.2135685,0.2206455,0.686364,0.122132,88,1220.0,1331
2011-01-12,1,0,1,0,3,1,1,0.2135685,0.2206455,0.599545,0.304627,88,1177.5,1331
2011-01-13,1,0,1,0,4,1,1,0.2135685,0.2206455,0.470417,0.301,88,1368.0,1406
2011-01-14,1,0,1,0,5,1,1,0.2135685,0.2206455,0.537826,0.126548,88,1367.0,1421
2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1177.5,1331
2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,1177.5,1331
2011-01-17,1,0,1,1,1,0,2,0.2135685,0.2206455,0.5375,0.194017,117,1177.5,1331
2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,88,1177.5,1331
2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,88,1572.0,1650
2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,88,1844.0,1927
2011-01-21,1,0,1,0,5,1,1,0.2135685,0.2206455,0.457083,0.343283,88,1468.0,1543
2011-01-22,1,0,1,0,6,0,1,0.2135685,0.2206455,0.4074545,0.17197,93,1177.5,1331
2011-01-23,1,0,1,0,0,0,1,0.2135685,0.2206455,0.436522,0.2466,150,1177.5,1331
2011-01-24,1,0,1,0,1,1,1,0.2135685,0.2206455,0.491739,0.15833,88,1330.0,1416
2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799.0,1985
2011-01-26,1,0,1,0,3,1,3,0.2175,0.2206455,0.8625,0.29385,88,1177.5,1331
2011-01-27,1,0,1,0,4,1,1,0.2135685,0.2206455,0.6875,0.113837,88,1177.5,1331
2011-01-28,1,0,1,0,5,1,2,0.2135685,0.223317,0.793043,0.1233,88,1177.5,1331
2011-01-29,1,0,1,0,6,0,1,0.2135685,0.2206455,0.651739,0.145365,123,1177.5,1331
2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.07961665000000001,140,1177.5,1331
2011-01-31,1,0,1,0,1,1,2,0.2135685,0.2206455,0.60375,0.187192,88,1459.0,1501
2011-02-01,1,0,2,0,2,1,2,0.2135685,0.23453,0.829565,0.07961665000000001,88,1313.0,1360
2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,88,1454.0,1526
2011-02-03,1,0,2,0,4,1,1,0.2135685,0.2206455,0.437826,0.277752,88,1489.0,1550
2011-02-04,1,0,2,0,5,1,2,0.2135685,0.228587,0.585217,0.127839,88,1620.0,1708
2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.8685415000000001,0.161079,100,1177.5,1331
2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269.0,1623
2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.07961665000000001,120,1592.0,1712
2011-02-08,1,0,2,0,2,1,1,0.220833,0.2206455,0.537917,0.343283,88,1466.0,1530
2011-02-09,1,0,2,0,3,1,2,0.2135685,0.2206455,0.494783,0.188839,88,1552.0,1605
2011-02-10,1,0,2,0,4,1,1,0.2135685,0.2206455,0.437391,0.221935,88,1491.0,1538
2011-02-11,1,0,2,0,5,1,1,0.2135685,0.2206455,0.506364,0.10855,149,1597.0,1746
2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184.0,1472
2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192.0,1589
2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.4074545,0.343283,208,1705.0,1913
2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.4074545,0.291374,140,1675.0,1815
2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897.0,2115
2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216.0,2475
2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348.0,2927
2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.4074545,0.343283,532,1177.5,1635
2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1177.5,1812
2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,1177.5,1331
2011-02-22,1,0,2,0,2,1,1,0.2135685,0.2206455,0.577778,0.195683,88,1376.0,1450
2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778.0,1917
2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707.0,1807
2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.343283,120,1341.0,1461
2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545.0,1969
2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708.0,2402
2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.8685415000000001,0.289686,88,1365.0,1446
2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714.0,1851
2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903.0,2134
2011-03-03,1,0,3,0,4,1,1,0.2135685,0.2206455,0.4074545,0.225754,123,1562.0,1685
2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730.0,1944
2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437.0,2077
2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.8685415000000001,0.343283,114,1177.5,1331
2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628.0,1872
2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817.0,2133
2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700.0,1891
2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.4074545,0.261877,88,1177.5,1331
2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730.0,1977
2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408.0,2132
2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435.0,2417
2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687.0,2046
2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767.0,2056
2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871.0,2192
2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320.0,2744
2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355.0,3239
2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.4074545,0.343283,1424,1693.0,3117
2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424.0,2471
2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676.0,2077
2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243.0,2703
2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918.0,2121
2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699.0,1865
2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910.0,2210
2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.4074545,0.209571,981,1515.0,2496
2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221.0,1693
2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.4074545,0.212204,222,1806.0,2028
2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.4074545,0.226996,317,2108.0,2425
2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368.0,1536
2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.8685415000000001,0.217646,179,1506.0,1685
2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920.0,2227
2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354.0,2252
2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598.0,3249
2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.343283,734,2381.0,3115
2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.343283,167,1628.0,1795
2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395.0,2808
2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570.0,3141
2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299.0,1471
2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8685415000000001,0.133083,879,1576.0,2455
2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707.0,2895
2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493.0,3348
2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777.0,2034
2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953.0,2162
2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738.0,3267
2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484.0,3126
2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.8685415000000001,0.340808,121,1177.5,1331
2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186.0,3744
2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760.0,3429
