dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3.0,13,16.0
2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8.0,32,40.0
2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5.0,27,32.0
2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3.0,10,13.0
2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0.0,4,5.0
2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0.0,4,5.0
2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2.0,4,5.0
2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1.0,4,5.0
2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1.0,7,8.0
2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8.0,6,14.0
2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12.0,24,36.0
2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26.0,30,56.0
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29.0,55,84.0
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47.0,47,94.0
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35.0,71,106.0
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40.0,70,110.0
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41.0,52,93.0
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15.0,52,67.0
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9.0,26,35.0
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6.0,31,37.0
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11.0,25,36.0
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3.0,31,34.0
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.93,0.2239,11.0,17,28.0
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15.0,24,39.0
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4.0,13,17.0
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.93,0.2537,1.0,16,17.0
2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,0.93,0.2836,1.0,8,9.0
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.93,0.194,2.0,4,6.0
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.93,0.194,2.0,4,5.0
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0.0,4,5.0
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0.0,4,5.0
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0.0,8,8.0
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1.0,19,20.0
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7.0,46,53.0
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16.0,54,70.0
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20.0,73,93.0
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11.0,64,75.0
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4.0,55,59.0
2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19.0,55,74.0
2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9.0,67,76.0
2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7.0,58,65.0
2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10.0,43,53.0
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4179,1.0,29,30.0
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5.0,17,22.0
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11.0,20,31.0
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0.0,9,9.0
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0.0,8,8.0
2011-01-03,1,0,1,0,0,1,1,1,0.22,0.2121,0.44,0.3582,0.0,5,5.0
2011-01-03,1,0,1,1,0,1,1,1,0.2,0.2121,0.44,0.4179,0.0,4,5.0
2011-01-03,1,0,1,4,0,1,1,1,0.2,0.2121,0.47,0.3881,0.0,4,5.0
2011-01-03,1,0,1,5,0,1,1,1,0.2,0.2121,0.47,0.2836,0.0,4,5.0
2011-01-03,1,0,1,6,0,1,1,1,0.2,0.2121,0.5,0.3881,0.0,30,30.0
2011-01-03,1,0,1,7,0,1,1,1,0.2,0.2121,0.5,0.194,1.0,63,64.0
2011-01-03,1,0,1,8,0,1,1,1,0.2,0.2121,0.5,0.2836,1.0,153,154.0
2011-01-03,1,0,1,9,0,1,1,1,0.2,0.2121,0.43,0.3881,7.0,81,88.0
2011-01-03,1,0,1,10,0,1,1,1,0.2,0.2121,0.43,0.2537,11.0,33,44.0
2011-01-03,1,0,1,11,0,1,1,1,0.2,0.2121,0.4,0.3284,10.0,41,51.0
2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13.0,48,61.0
2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8.0,53,61.0
2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.31,0.2836,11.0,66,77.0
2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.31,0.2537,14.0,58,72.0
2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.31,0.2537,9.0,67,76.0
2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.31,0.2239,11.0,146,157.0
2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9.0,148,157.0
2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8.0,102,110.0
2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3.0,49,52.0
2011-01-03,1,0,1,21,0,1,1,1,0.2,0.2121,0.64,0.1343,3.0,49,52.0
2011-01-03,1,0,1,22,0,1,1,1,0.2,0.2121,0.69,0.1343,0.0,20,20.0
2011-01-03,1,0,1,23,0,1,1,1,0.2,0.2121,0.55,0.1045,1.0,11,12.0
2011-01-04,1,0,1,0,0,2,1,1,0.2,0.2121,0.55,0.1045,0.0,5,5.0
2011-01-04,1,0,1,1,0,2,1,1,0.2,0.2121,0.59,0.1045,0.0,4,5.0
2011-01-04,1,0,1,2,0,2,1,1,0.2,0.2121,0.63,0.1343,0.0,4,5.0
2011-01-04,1,0,1,4,0,2,1,1,0.2,0.2121,0.63,0.0896,0.0,4,5.0
2011-01-04,1,0,1,5,0,2,1,1,0.2,0.2121,0.68,0.1045,0.0,4,5.0
2011-01-04,1,0,1,6,0,2,1,1,0.2,0.2121,0.74,0.1045,0.0,36,36.0
2011-01-04,1,0,1,7,0,2,1,1,0.2,0.2121,0.74,0.1343,2.0,92,94.0
2011-01-04,1,0,1,8,0,2,1,1,0.2,0.2121,0.69,0.1642,2.0,177,179.0
2011-01-04,1,0,1,9,0,2,1,1,0.2,0.2121,0.64,0.2239,2.0,98,100.0
2011-01-04,1,0,1,10,0,2,1,2,0.2,0.2121,0.69,0.3284,5.0,37,42.0
2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7.0,50,57.0
2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12.0,66,78.0
2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18.0,79,97.0
2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9.0,54,63.0
2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17.0,48,65.0
2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15.0,68,83.0
2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10.0,202,212.0
2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3.0,179,182.0
2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2.0,110,112.0
2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1.0,53,54.0
2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0.0,48,48.0
2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1.0,34,35.0
2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2.0,9,11.0
2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0.0,6,6.0
2011-01-05,1,0,1,1,0,3,1,1,0.2,0.2121,0.74,0.0896,0.0,6,6.0
2011-01-05,1,0,1,2,0,3,1,1,0.2,0.2121,0.74,0.0896,0.0,4,5.0
2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0.0,4,5.0
2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0.0,4,5.0
2011-01-05,1,0,1,6,0,3,1,1,0.2,0.2121,0.47,0.2239,0.0,33,33.0
2011-01-05,1,0,1,7,0,3,1,1,0.2,0.2121,0.43,0.194,1.0,87,88.0
2011-01-05,1,0,1,8,0,3,1,1,0.2,0.2121,0.4,0.2985,3.0,192,195.0
2011-01-05,1,0,1,9,0,3,1,1,0.22,0.2121,0.37,0.3284,6.0,109,115.0
2011-01-05,1,0,1,10,0,3,1,1,0.22,0.2121,0.37,0.3284,4.0,53,57.0
2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12.0,34,46.0
2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5.0,74,79.0
2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.31,0.2985,6.0,65,71.0
2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.31,0.194,10.0,52,62.0
2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.31,0.194,7.0,55,62.0
2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.31,0.0896,4.0,85,89.0
2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4.0,186,190.0
2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3.0,166,169.0
2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5.0,127,132.0
2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7.0,82,89.0
2011-01-05,1,0,1,21,0,3,1,1,0.2,0.2121,0.51,0.194,3.0,40,43.0
2011-01-05,1,0,1,22,0,3,1,1,0.2,0.2121,0.55,0.1343,1.0,41,42.0
2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1.0,18,19.0
2011-01-06,1,0,1,0,0,4,1,1,0.2,0.2424,0.55,0.0,0.0,11,11.0
2011-01-06,1,0,1,1,0,4,1,1,0.2,0.2273,0.64,0.0,0.0,4,5.0
2011-01-06,1,0,1,2,0,4,1,1,0.2,0.2273,0.64,0.0,0.0,4,5.0
2011-01-06,1,0,1,4,0,4,1,2,0.2,0.2121,0.64,0.0896,0.0,4,5.0
2011-01-06,1,0,1,5,0,4,1,2,0.2,0.2121,0.69,0.0896,0.0,4,5.0
2011-01-06,1,0,1,6,0,4,1,2,0.2,0.2121,0.63,0.1045,0.0,36,36.0
2011-01-06,1,0,1,7,0,4,1,2,0.2,0.2273,0.59,0.0,0.0,95,95.0
2011-01-06,1,0,1,8,0,4,1,1,0.2,0.2273,0.59,0.0,3.0,216,219.0
2011-01-06,1,0,1,9,0,4,1,2,0.2,0.2424,0.51,0.0,6.0,116,122.0
2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3.0,42,45.0
2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2.0,57,59.0
2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6.0,78,84.0
2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12.0,55,67.0
2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11.0,59,70.0
2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8.0,54,62.0
2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12.0,74,86.0
2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9.0,163,172.0
2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5.0,158,163.0
2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3.0,109,112.0
2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3.0,66,69.0
2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0.0,48,48.0
2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1.0,51,52.0
2011-01-06,1,0,1,23,0,4,1,2,0.2,0.2121,0.59,0.194,4.0,19,23.0
2011-01-07,1,0,1,0,0,5,1,2,0.2,0.2121,0.64,0.194,4.0,13,17.0
2011-01-07,1,0,1,1,0,5,1,2,0.2,0.2121,0.69,0.2239,2.0,5,7.0
2011-01-07,1,0,1,2,0,5,1,2,0.2,0.2121,0.69,0.2239,0.0,4,5.0
2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0.0,4,5.0
2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0.0,5,5.0
2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8.0,26,34.0
2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8.0,76,84.0
2011-01-07,1,0,1,8,0,5,1,1,0.2,0.2121,0.51,0.2537,20.0,190,210.0
2011-01-07,1,0,1,9,0,5,1,1,0.2,0.2121,0.47,0.2985,9.0,125,134.0
2011-01-07,1,0,1,10,0,5,1,1,0.22,0.2121,0.37,0.3284,16.0,47,63.0
2011-01-07,1,0,1,11,0,5,1,2,0.2,0.2121,0.4,0.2239,19.0,48,67.0
2011-01-07,1,0,1,12,0,5,1,2,0.2,0.2121,0.37,0.2537,9.0,50,59.0
